id,nemo,descipcion,agrupacion,tipo_agente,fecha_proceso,lote_id_log
149789,ADOLSB3N,A.GUERRICO - CANTERA V MONICA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149790,ADVA14ON,AOM - PILAR,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149791,AEEZECCY,AEROP ARG 2000 EX FAA EZEIZA,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149792,AERORTCN,AEROPUERTOS ARGENTINA 2000 S.A,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149793,AESCARJG,AES CARACOLES (CESIONES),GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
149794,AESJURAG,AES JURAMENTO,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
149795,AESQCAKP,AGROP.ESQUIU SA.-EST.AGR.PRINC,GRANDES USUARIOS,Gran Usuario Particular (GUPA),2020-05-05 11:08:14.531913,67
149796,AESTLRFN,ANGEL ESTRADA Y CIA-LA RIOJA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149797,AGASLACN,AGA - LANUS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149798,AGASPION,AGA - PILAR 2,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149799,AGASVMCN,AGA - AVELLANEDA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149800,AGEABACY,ARTE GRAFICO EDIT. ARG. SA,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149801,AGEATACY,ARTE GRAFICA EDIT.Pta.Tacuari,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149802,AGENPIAN,AGENOR S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149803,AGFORRPN,AGUAS DE FORMOSA - RIO RIVERA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149804,AGFOSAPN,AGUAS DE FORMOSA - Salta 411,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149805,AGGREKOG,AGGREKO GENERACION,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
149806,AGIPTION,AGIP LUBRICANTES - TIGRE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149807,AGRCBECN,AGROCOMBUSTIBLES S.R.L.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149808,AGRIAC1N,ACEVEDO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149809,AGRIGBSN,AGRINAR S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149810,AGRIJBSN,AGRIC FED ARG.ACOPIO MOLINA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149811,AGRINA1N,AGRICOLA MARCOS PAZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149812,AGRIOISN,AG.FE.ARG. ACEITERA LOS CARDOS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149813,AGRISTSN,SANTA TERESA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149814,AGRITAFN,AGRICOLA RIOJANA S.A. PUERTA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149815,AGROBECN,FRIGORIFICO CARINDU,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149816,AGROGLON,AGROINDUSTRIAS BAIRES SA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149817,AGROOH1P,O'HIGGINS,GRANDES USUARIOS,Gran Usuario Particular (GUPA),2020-05-05 11:08:14.531913,67
149818,AGRORAJN,AGROPECUARIA LOS BRETES S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149819,AGROSAJN,AGROJUMBO S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149820,AGTASMJN,AGRICOLA TARANTO S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149821,AGUA11GN,AGUAS DE SANTIAGO - POZO 11,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149822,AGUA12GN,AGUAS DE SANTIAGO - POZO 12,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149823,AGUA14GN,AGUAS DE SANTIAGO - POZO 14,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149824,AGUA15GN,AGUAS DE SANTIAGO - POZO 15,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149825,AGUA16GN,AGUAS DE SANTIAGO - POZO 16,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149826,AGUA1MCN,AYSA - E.B.C. FALUCHO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149827,AGUA21GN,AGUAS DE SANTIAGO - POZO 21,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149828,AGUA23GN,AGUAS DE SANTIAGO - POZO 23,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149829,AGUA29GN,AGUAS DE SANTIAGO - POZO 29,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149830,AGUA38GN,AGUAS DE SANTIAGO - POZO 38,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149831,AGUA40GN,AGUAS DE SANTIAGO - POZO 40,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149832,AGUA42GN,AGUAS DE SANTIAGO - POZO 42,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149833,AGUA45GN,AGUAS DE SANTIAGO - POZO 45,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149834,AGUA46GN,AGUAS DE SANTIAGO - POZO 46,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149835,AGUA6EON,AYSA - EST. BOM. CLOACAL N° 13,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149836,AGUA7EGN,AGUAS DE SANTIAGO-POZO 7 EELC5,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149837,AGUA8LON,AYSA - E.B.C. LA CUTIVA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149838,AGUAACON,AYSA - EDIFICIO REGIÓN NORTE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149839,AGUAANGN,AGUAS DE SANTIAGO-T.D. AÑATUYA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149840,AGUAASON,AYSA - REBOMBEO ACASSUSO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149841,AGUAAVCN,AYSA - TALLERES VARELA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149842,AGUABACN,AYSA - REBOMBEO BANFIELD,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149843,AGUABEGN,AGUAS DE SANTIAGO - POZO 10,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149844,AGUABSON,AYSA - E.B.C. BOULOGNE GRANDE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149845,AGUACAGN,AGUAS DE SANTIAGO - CISTERNA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149846,AGUACIGN,AGUAS DE SANTIAGO-CISTERNA TRH,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149847,AGUACRON,AYSA - E.B.C. BARRIO MUNICIPAL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149848,AGUACTGN,AGUAS DE SANTIAGO - COL. TINCO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149849,AGUACTON,AYSA - DISTRITO 3 DE FEBRERO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149850,AGUAE1GN,AGUAS DE SANTIAGO - EE1,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149851,AGUAE2GN,AGUAS DE SANTIAGO - EE2,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149852,AGUAE6GN,AGUAS DE SANTIAGO - EE6,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149853,AGUAE7GN,AGUAS DE SANTIAGO - EE7,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149854,AGUAECGN,AGUAS DE SANTIAGO - ED.CENTRAL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149855,AGUAEPGN,AGUAS DE SANTIAGO - PATAGONIA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149856,AGUAGPON,AYSA - REBOMBEO PACHECO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149857,AGUAICON,AYSA - E.B.C. BO SAN ALBERTO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149858,AGUALACN,AYSA - E.B.C. FRAY LAGOS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149859,AGUALBGN,AGUAS DE SANTIAGO - POZO 21,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149860,AGUALDCN,AYSA - REBOMBEO TEMPERLEY,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149861,AGUAMOON,AYSA - DISTRITO MORÓN,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149862,AGUAMSON,AYSA - E.B.C. MARTINEZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149863,AGUAP4GN,AGUAS DE SANTIAGO - POZO 4,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149864,AGUAP5GN,AGUAS DE SANTIAGO - POZO 5,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149865,AGUAP6GN,AGUAS DE SANTIAGO - POZO 6,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149866,AGUAP7GN,AGUAS DE SANTIAGO - POZO 7,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149867,AGUAPQGN,AGUAS DE SANTIAGO - PT QUIMILI,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149868,AGUARIGN,AGUAS DE SANTIAGO - POZO 12,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149869,AGUASFON,AYSA - EDIF DTTO. SAN FERNANDO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149870,AGUASIGN,AGUAS DE SANTIAGO-EST.SIMBOLAR,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149871,AGUASJGN,AGUAS DE SANTIAGO - SAN JAVIER,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149872,AGUASMON,AYSA - EDIF DTTO. S.MARTÍN,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149873,AGUATLON,AYSA - ESTAB SUD-OESTE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149874,AGUAVBON,AYSA - E.B.C. DE LA VEGA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149875,AGUAVLON,AYSA - E.B.C. VICENTE LOPEZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149876,AGUAWION,AYSA - EDIFICIO DTTO. V. LOPEZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149877,AGUESB3N,A.GUERRICO - CANTERA PUMA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149878,AGUIBECN,AGUIMAI - BERNAL OESTE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149879,AGUIPAYN,MINERA AGUILAR S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149880,AGUSPIAN,AGUSTIN VIDIZZONI - Pichanal,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149881,AHUGHUSN,ASOC.COOP.ARG. - HUGHES,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149882,AIELFPDN,AIELLO SUPERM.S.A-PASTORE 2115,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149883,AIELJKDN,AIELLO SUPERM.S.A. - SUC. N° 6,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149884,AIELRIDN,AIELLO SUPERM.S.A-RIOBAMB.1665,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149885,AIELSLDN,AIELLO SUPERM.S.A-PERON 1074,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149886,AIELSMDN,AIELLO SUPERM.S.A-BELGRAN.1045,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149887,AIRLBB2Z,AIR LIQUIDE - Pta.Bahia Blanca,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149888,AIRLLACY,AIR LIQUIDE - Llavallol,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149889,AIRLNSIY,AIR LIQUIDE - Ensenada,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149890,AIRLSN1Y,AIR LIQUIDE - P3 SIDERAR,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149891,AIRLVCSY,AIR LIQUIDE - V.Constitucion,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149892,AKAPZEON,AKAPOL S.A. - ZELAYA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149893,AKZOGAOY,AKZO NOBEL ARG.-EX ALBA,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149894,ALBABEON,ALBANO COZZUOL PACHECO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149895,ALBANEDC,RAFAEL G. ALBANESI S.A.,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
149896,ALBEDTON,ALBERCA S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149897,ALCEBOCN,ALCEMAR S.A. - BERNAL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149898,ALCOBAON,COOPERATIVA ALCOYANA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149899,ALDYAMCN,ALDYL ARGENTINA SA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149900,ALEMQUCN,BURO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149901,ALFAVUON,ALFAVINIL SA VILLA ZAGALA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149902,ALFRLRFN,FINCA ATA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149903,ALGACLCN,A.ACONCAGUA -PLANTA WILDE,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149904,ALIBBB2N,ALIBA S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149905,ALIQLDMN,AIR LIQUIDE - MENDOZA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149906,ALKHLAJN,ALK HOTELES SA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149907,ALLEBECN,ALLEGRETTI Y DE LUCA - BEGUI.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149908,ALMAJPXN,ALIMENTOS MAGROS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149909,ALMOMUON,ALIMENTOS MODERNOS(MUNRO),GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149910,ALPAORLN,ALPARG.CALZ.-S.ROSA(LA PAMPA),GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149911,ALPLAVOY,ALPLA AVELLANEDA S.A. - Pilar,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149912,ALPOLPON,ALTOS DE LOS POLVORINES,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149913,ALPRCAKN,ALPARGATAS S.A.I.C.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149914,ALSIVACN,ALSIGAS - V. ALSINA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149915,ALSNBEON,ALGODONERA SAN NICOLAS(BECCAR),GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149916,ALTAR3DN,ALTA PLASTICA - RUTA 3,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149917,ALTEAMCN,ALTER S.A. -PLANTA BERAZATEGUI,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149918,ALTEPNDN,ALTEC SAN LUIS SA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149919,ALTOAPOY,ALTO PALERMO SA(EX-APSA y SHO),GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149920,ALUBKODN,ALUBRY SAN LUIS S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149921,ALUFLADN,ALUFLEX S A,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149922,ALVACS1P,ALVAREZ RAFAEL,GRANDES USUARIOS,Gran Usuario Particular (GUPA),2020-05-05 11:08:14.531913,67
149923,ALVAMCCN,ALVAREZ - SCOCUZZA - VICAR,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149924,AMBACLON,AMBAS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149925,AMBIAVCN,AMBIENTE ECOLOGICO - PIÑEYRO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149926,AMCOPIOY,AMCOR PET PACK.ARG.(LUBEPIOY),GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149927,AMEXAMCN,AMERICAN EXPRESS - MAIPU,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149928,AMPATOON,AMPACET SOUTH AMERICA S.R.L.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149929,AMUTOION,A. MUTZ Y CIA.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149930,ANDE-EBG,INTERCAMBIO CON ANDE,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
149931,ANDIGPOY,ANDINA EMPAQUES ARG.S.A.,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149932,ANDR9Y1N,ANDRES LAGOMARSINO E HIJOS,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149933,ANDRID3N,LAGOMARSINO E HIJOS S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149934,ANDRIECN,A.LAGOMARSINO-ESTAB.HAR.MODELO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149935,ANDRLH1N,LAGOMARSINO E HIJOS SA. ANDRES,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149936,ANDROJON,ANDRES LAGOMARSINO(PR.EL ORDEN,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149937,ANODCACN,ANODIZADO CALIFORNIA S.R.L.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149938,ANSAQICN,ANSABO S.C.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149939,APARBONY,ALTO PARANA-PTO.BOSSETI,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149940,APARESNY,ALTO PARANA-PTO.ESPERANZA,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149941,APARPPNA,ALTO PARANA-PTO.PIRAY,GENERACIÓN,Autogenerador,2020-05-05 11:08:14.531913,67
149942,APARSMSY,ALTO PARANA-EX FAPLAC,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149943,APARZA1Y,ALTO PARANA - EX-FAPLAC S.A.,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149944,APELPADC,APELP POR C/O DE GUDI,,Comercializador de Demanda,2020-05-05 11:08:14.531913,67
149945,APELPALD,APELP,DISTRIBUCIÓN,Distribuidor,2020-05-05 11:08:14.531913,67
149946,APELPALT,APELP PAFTT,TRANSPORTE,Transportista PAFT-R159/94 AII,2020-05-05 11:08:14.531913,67
149947,APLAMAOY,BEMIS ARGENTINA Pta.Malv. Arg.,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149948,APRENERG,APR ENERGY,GENERACIÓN,Generador,2020-05-05 11:08:14.531913,67
149949,APRIPNDN,APRILON SA(PARQUE IND.NORTE-SL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149950,APSAABCY,ALTO PALERMO S.A. Sh. Abasto,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149951,APSAAVCY,ALTO AVELLANED SHOP EXDUMSAVCY,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149952,APSABUCY,ALTO PALERMO S.A. P.BULLRICH,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
